Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,visibility_ratio,Item_MeanPrice_Ratio,specific_price,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_combined_0,Item_Type_combined_1,Item_Type_combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDW12,0.2238761536171479,0.0979791651433695,0.48070954641457664,OUT027,4064.0432,0.9543090781180374,0.9972403211162348,0.31977280864940105,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCB30,0.5980946710330455,0.06811061946562093,0.7012713159342339,OUT035,1587.2672,0.8628943947372766,0.9932606062893371,0.23983564975661678,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDC37,0.6516820482286394,0.1661933477773972,0.32429676941778895,OUT019,214.3876,1.5315371875133978,1.0049456999471835,0.1071909143184375,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDR28,0.5534385233700505,0.06872127549037339,0.567622700323941,OUT046,4078.025,0.9296326154440038,1.01061521282481,0.2083706925250405,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD06,0.5028282226853229,0.29651350571284535,0.06203777275227679,OUT017,838.908,0.9275067672165533,0.996142291575247,0.03758863048005127,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV10,0.18398332837153913,0.1943213709289483,0.0467796046153115,OUT035,1065.28,1.0602351029427202,0.9990555167267988,0.07839681879174742,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRJ59,0.4224471568919321,0.04858572808472482,0.033219240877696954,OUT013,308.9312,1.035277578029896,0.9951943136858032,0.03405225090697898,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDE51,0.08157189639773738,0.48609586496980983,0.0603510040815218,OUT010,178.4344,1.4445814400022103,1.0312203060899234,0.12211846612208016,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDC14,0.5921405180113128,0.211341344529407,0.052442631189345945,OUT019,125.8362,1.679002681283213,1.0556289212342849,0.02697127050332144,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV38,0.8749627865436143,0.5134406083439483,0.10401428872182494,OUT010,163.7868,1.4641166675359907,1.0240430499067643,0.02469880146814453,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCS17,0.8362607919023519,0.2378411609640835,0.2765451717838492,OUT018,2741.7644,1.0031395405819457,1.0176746306266,0.07128018870640562,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP33,0.8422149449240846,0.275598207294124,0.95661600418339,OUT018,3068.0064,1.0,1.0048939538919068,0.24525509985090574,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO23,0.791604644239357,0.42758819075913435,0.26253828548920544,OUT045,2174.5028,1.0,0.9912497735583291,0.07195220454732346,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH01,0.7707651086632927,0.2904082877626966,0.6094430182887489,OUT046,2085.2856,0.9222899199987084,1.0069739281296397,0.16921615585001626,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,0.3242036320333432,0.2638920897584403,0.48990230833486137,OUT049,3791.0652,0.8760887635003263,1.0057585442400159,0.26451577939302684,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDV20,0.9315272402500745,0.17221156269121388,0.4107744364987199,OUT027,2797.6916,0.9544539631769144,1.0048647367785086,0.09480548920920745,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRZ11,0.2557308722834177,0.33726513067003266,0.38730653518869396,OUT018,1609.9044,1.003139534910143,0.9955316811927648,0.24771332092699014,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,0.10896100029770756,0.36801346915371386,0.024182676962152566,OUT027,388.1614,1.0227997426879307,1.0274702719186533,0.08365994009852615,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB34,0.6367966656743078,0.07052065898796625,0.23909245563637108,OUT027,2180.495,0.9251308290764401,1.0158448350088924,0.08269644692866762,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,0.5236677582613873,0.30459315382158375,0.8461228938736426,OUT046,3435.528,0.9222899150035627,1.0060097412089117,0.31758239233355623,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,0.3122953259898779,0.07155963410081853,0.4020061256782729,OUT013,2150.534,0.9215224160526706,0.9918657801241648,0.22756968927247598,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,0.5385531408157189,0.35171777889806927,0.6860131477972686,OUT049,2527.3768,0.9310779364692868,0.9914911716051373,0.2546115364494177,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,1.0,0.20173908479024674,0.9704556567446978,OUT018,6768.5228,0.9334195377024116,1.0020989953009063,0.2136616290359426,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDL50,0.45221792200059546,0.11915404170819655,0.40413941690605704,OUT013,373.5138,0.9980787902561443,1.0117683055993598,0.17775384357007065,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,0.11104495385531404,0.26453180221125017,0.6231375085739123,OUT010,358.2004,1.464116667660315,0.9977591061522622,0.53077204062845,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCP05,0.8958023221196785,0.046741059838532634,0.5178829737383616,OUT045,2428.8384,1.0,1.0120294433829846,0.1249861675747507,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDV49,0.3242036320333432,0.06866922144443204,0.9929294935789039,OUT045,5815.0972,0.9241603460120508,1.0048410791582112,0.5059357962866233,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,0.6725215838047036,0.3634609506143858,0.12449999660439123,OUT046,2576.646,0.8747287915078714,1.0101646337399186,0.04356750176957002,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,0.33581423042572206,0.7752697040249681,0.7028460295146317,OUT019,780.3176,2.0308877247907904,1.00710463582603,0.3590436911791467,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCL17,0.16880023816612083,0.19766564634620343,0.47789458672045315,OUT046,3134.5864,0.8747287887220742,1.0133820533986189,0.36226936710860164,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDM40,0.33581423042572195,0.4809770293204234,0.46785292260049305,OUT013,850.8924,1.0365304276483922,0.9937579907471576,0.24841960079256084,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,0.31795177136052394,0.07734291002990151,0.36400586761200415,OUT013,810.9444,0.8740008759338731,1.0079222107790289,0.20662393510714674,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,0.3774933015778505,0.18923586181417953,0.7007237740154433,OUT017,3121.2704,0.8796766099576357,1.0051696939234087,0.3328336926122831,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,0.45221792200059546,0.07753711521514085,0.5101087273937345,OUT017,4815.0656,0.9275067647960544,1.0062742796167403,0.21961253525953542,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDK21,0.19946412622804405,0.019944836503715563,0.9242456655053686,OUT018,6258.52,0.9334195624341675,0.9970640141012733,0.6074224814300663,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCX54,0.2762727002083954,0.13725495568648427,0.3177958763726749,OUT045,2117.244,0.9315179298292239,1.0032550722951556,0.20084917261392415,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DRK35,0.22685323012801428,0.21052979646184572,0.02869544105562688,OUT049,796.9626,0.8760887617519185,1.0026350044531576,0.0583171237415844,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,0.6278654361417089,0.5230853013049684,0.6927933296660759,OUT046,4910.275,1.1416630232284466,0.9913863843711298,0.22806218020819705,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,0.08246501935099726,0.17704618842191547,0.6313472417469729,OUT019,892.172,1.61481058875214,1.0087156299134363,0.5830713325752431,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDM20,0.3242036320333432,0.10134089442877318,0.9152201373184199,OUT018,3185.1872,1.0,1.0077546462575258,0.46864040818131675,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDV27,0.20333432569217025,0.11236024367623233,0.2379532288844067,OUT045,1062.6168,0.8503936434710149,0.9882621007841481,0.18891960102909766,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,0.09883894016076211,0.02621597903430016,0.029689505531446725,OUT027,484.7024,0.9251308536486637,1.0231616756225144,0.09114024617553612,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY40,0.6516820482286394,0.451674729943468,0.0839530319390964,OUT019,147.8076,1.8569920498948196,1.0350633978661998,0.032772068213246235,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY45,0.7707651086632927,0.06908774114595558,0.9530862688371398,OUT027,2543.356,1.1658562566726927,1.0061174897108194,0.26345969551933596,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC46,0.782673414706758,0.5895441745910188,0.6542344939524208,OUT010,184.4266,1.5560143953260468,1.0071819162487174,0.17906120215888027,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDH19,0.8809169395653469,0.090843721642621,0.5996806429924821,OUT035,4865.6664,0.9221155127052099,0.9929040119949046,0.14733283630190247,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,0.5415302173265852,0.23204429273473848,0.6567701648228511,OUT045,1118.5439999999999,1.044138187445984,0.9971857260022834,0.24327124545280324,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,0.7767192616850254,0.11737731101815255,0.5669079246718144,OUT045,2302.3364,0.8765027640696678,1.0017622473150034,0.15646066191077948,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,0.2435248585888657,0.4305447926327578,0.2739874294562272,OUT046,2027.361,1.0277767942566969,0.9961887999223903,0.1914917805323208,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDJ58,0.657636201250372,0.3131659022601239,0.5895048523249734,OUT046,3435.528,0.8747287875118142,0.9890158682927055,0.18787495239749877,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,0.6725215838047036,0.3631493282740626,0.11855768120666357,OUT013,599.22,0.8740008619873568,0.9868359661401054,0.041768182413111636,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,0.8154212563262877,0.1678687948784719,0.5664834735719767,OUT045,4604.6728,1.0,1.000404810935077,0.1495532013774652,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,0.19648704971717773,0.02386014862249041,0.6720283329598163,OUT017,2285.0256,0.9275067286121007,0.9973117795715348,0.4574047640440522,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,0.1947008038106579,0.5627256949121233,0.946864664615719,OUT049,5580.7356,1.029857103248895,1.0020572275173703,0.6278567036523973,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC29,0.2283417683834475,0.06351579700830853,0.35113820806932483,OUT046,2290.3520000000003,0.9990697616442725,0.99934263922463,0.24248839630932348,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,0.493896993152724,0.09130121414799906,0.598697614245258,OUT049,1207.0954,0.9237238339071363,1.0040132572126321,0.23886528165867318,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,0.5236677582613871,0.339101402716151,0.2491120482991396,OUT019,643.1628,1.5315372016230429,0.9806016538724769,0.10295617340002552,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL04,0.8600774039892825,0.3355183399845296,0.3127024631746226,OUT017,1587.933,0.9275067671896534,0.9937931311633418,0.07818971192981977,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,0.08038106579339088,0.12573675834670625,0.811786497701173,OUT045,5305.0944,1.0,1.004010205170117,0.7333845473093501,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,0.19083060434653165,0.17172029724498078,0.2995775862654416,OUT046,1697.79,0.8747287866525946,1.0205369665397717,0.23307451603328963,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,0.43137838642453114,0.03236401811793591,0.6326205950464858,OUT046,1427.4752,1.1416114694007558,1.0080353544415805,0.27697370998267107,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,0.7261089610002978,0.12824557268917425,0.664968862267316,OUT018,4693.89,0.9260469457443702,1.001420790570497,0.1942405680132726,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCL18,0.8511461744566835,0.8923293123419779,0.6932288164945093,OUT019,583.2408,1.6148105893820424,1.0033798833012224,0.1759699195687806,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR12,0.4790116105983922,0.08560946689089599,0.5945982655230256,OUT027,3091.9752,0.8704928746102873,0.9974971828756087,0.24272468940876848,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG20,0.6516820482286394,0.37813428977152463,0.6184795822042934,OUT017,2479.4392,0.9348909885210056,0.9986834889198665,0.1982802254076938,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,0.08931229532598983,0.0672047657714169,0.5505215655114807,OUT035,2716.4640000000004,0.9988808402357965,1.005386265491368,0.5072805617352529,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDQ49,0.9315272402500745,0.10924015962871314,0.5291759197006431,OUT027,3285.723,0.9541219242227013,0.9965495869088772,0.12293664610452573,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN33,0.10419767788032147,0.3680267412729505,0.2731495629851477,OUT046,661.8052,0.9990697475981462,1.0147205326763995,0.2746699334496395,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN27,0.9702292348913368,0.11098369616667886,0.36498889635922827,OUT049,1523.3504,1.163307491313076,0.9987699029699462,0.08024008235847399,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDW20,0.964275081869604,0.11343796685048854,0.3857538930654877,OUT010,369.519,1.7352530512933784,0.9900950604066249,0.08559511447731974,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRG27,0.2584102411431974,0.3130982917264761,0.03660381394780271,OUT049,690.4346,1.029670894287246,0.9739713391908666,0.057062908433453664,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRI25,0.8958023221196785,0.09357751344029124,0.10132241984665433,OUT045,1381.535,0.9315179184271948,0.9833614801627247,0.0229852942055606,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDA44,0.9017564751414111,0.15281856742081099,0.11291672608982067,OUT035,622.523,0.9294568248579793,1.0235739248816882,0.025518896606167983,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCR17,0.3122953259898779,0.06404854436931649,0.3533945901160619,OUT035,1274.3412,0.9988808191929445,0.9914529322717369,0.20376321486274585,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDU04,0.2009526644834772,0.01890267805259127,0.37670629342134754,OUT019,487.3656,2.03215612351227,0.9850470370977539,0.27402101382113675,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDF41,0.45221792200059546,0.39348112663698315,0.9115342039674292,OUT049,1231.73,0.8760887632599259,0.9971630745787168,0.37817868222100615,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB56,0.24977671926168504,0.21870331918430805,0.6628466067681275,OUT035,3755.112,1.1406381675043848,0.999533440579792,0.40206958354366396,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP18,0.45221792200059546,0.07661274028008143,0.5037419608961691,OUT027,4363.6532,0.9178236759482314,0.9963092472842703,0.2170976135840623,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDB56,0.24977671926168504,0.21874676220786363,0.6645444111674783,OUT046,1314.2892,1.1408538876304597,1.0016662836435999,0.4030008231126392,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDT28,0.520690681750521,0.18509045037001687,0.5084109229943836,OUT045,1805.6496,0.9241603474535889,1.0031726422029883,0.19704109179175383,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD10,0.955343852337005,0.1299908209641605,0.6249804752494075,OUT027,2854.9504,1.031674956283392,1.002620725596552,0.14220295959901313,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDW57,0.22357844596606136,0.34568013453760393,0.627393055300885,OUT049,3896.2616,1.1434172322184795,1.009867337871181,0.4047012217405785,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRB48,0.7261089610002978,0.06544656555821945,0.03180072530203942,OUT013,667.7974,1.0358550701475788,0.9906340413430444,0.012820193194252524,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP09,0.9047335516522774,0.09375519543742039,0.7674084374087431,OUT018,3185.853,0.878292065399008,0.9982115138970078,0.18441191979626784,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDH14,0.7469484965763622,0.1329825770724217,0.46644544275343125,OUT013,2247.7408,0.8740008565954392,1.0018449686993967,0.13384365526348646,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,0.35397439714200657,0.3478951684221463,0.559558129427025,OUT013,1794.3310000000001,1.0269770126654036,1.0001362500843047,0.2821225901178704,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,0.12384638285203925,0.004154402168405472,0.3820900311716887,OUT045,2530.7058,1.0,1.003123885393098,0.33810137051633427,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,0.28818100625186055,0.8478620666299792,0.8237831835869854,OUT019,679.1160000000001,1.6148105888188795,0.9979827282174007,0.454321004087939,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,0.5713009824352486,0.09956123500594566,0.042970580445368056,OUT013,812.2760000000001,1.0320655400408245,1.0107385695249158,0.025275247885274278,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
